Directory,Model,Method,TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/0,11.0,0,0,0,3.0,3.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/1,9.0,0,0,0,2.0,1.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/2,8.0,0,1,0,2.0,1.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/3,6.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/4,7.0,0,0,0,2.0,1.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/5,12.0,0,2,0,4.0,4.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/6,9.0,0,0,0,3.0,1.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/7,10.0,0,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/8,9.0,0,2,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/9,9.0,0,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/10,14.0,0,4,0,2.0,1.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/11,10.0,0,2,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/12,19.0,0,2,0,2.0,1.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/13,20.0,0,2,0,2.0,4.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/14,24.0,0,0,0,4.0,6.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/15,26.0,0,0,0,4.0,5.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/16,14.0,0,0,0,4.0,3.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/17,13.0,0,0,0,2.0,2.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/18,19.0,0,0,0,4.0,3.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/19,11.0,0,0,0,3.0,2.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/20,12.0,0,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/21,12.0,0,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/22,10.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/23,6.0,0,2,0,2.0,1.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/24,9.0,0,1,0,3.0,2.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/25,8.0,0,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/26,9.0,0,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/27,8.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/28,8.0,0,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/29,8.0,0,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/30,23.0,0,3,0,8.0,9.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/31,13.0,0,0,0,3.0,1.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/32,10.0,0,0,0,2.0,2.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/33,5.0,0,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/34,9.0,0,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/35,9.0,0,0,0,4.0,4.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/36,15.0,0,0,0,4.0,4.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/37,16.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/38,16.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/39,16.0,0,4,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/40,10.0,0,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/41,11.0,0,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/42,17.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/43,14.0,0,1,0,3.0,2.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/44,13.0,0,1,0,2.0,1.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/45,15.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/46,9.0,0,0,0,2.0,1.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/47,17.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/48,14.0,0,0,0,2.0,2.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/49,12.0,0,0,0,2.0,1.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/50,25.0,0,1,0,2.0,1.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/51,16.0,0,2,0,2.0,2.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/52,8.0,0,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/53,13.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/54,10.0,0,0,0,2.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/55,11.0,0,0,0,3.0,1.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/56,7.0,0,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/57,11.0,0,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/58,14.0,0,0,0,1.0,0.0
